"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView. Data from clinical laboratories include the weekly total number of specimens tested, the number of positive influenza test, and the percent positive by influenza type."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
HHS Regions,Region 1,2015,40,693,2,3,0.721501,0.2886,0.4329
HHS Regions,Region 9,2015,40,981,25,2,2.75229,2.54842,0.203874
HHS Regions,Region 1,2015,41,752,11,4,1.99468,1.46277,0.531915
HHS Regions,Region 9,2015,41,926,23,3,2.80778,2.4838,0.323974
HHS Regions,Region 1,2015,42,708,4,3,0.988701,0.564972,0.423729
HHS Regions,Region 9,2015,42,935,6,0,0.641711,0.641711,0
HHS Regions,Region 1,2015,43,716,1,1,0.27933,0.139665,0.139665
HHS Regions,Region 9,2015,43,969,3,1,0.412797,0.309598,0.103199
HHS Regions,Region 1,2015,44,781,0,1,0.128041,0,0.128041
HHS Regions,Region 9,2015,44,1107,11,3,1.26468,0.993677,0.271003
HHS Regions,Region 1,2015,45,682,2,1,0.439883,0.293255,0.146628
HHS Regions,Region 9,2015,45,1161,8,5,1.11972,0.689061,0.430663
HHS Regions,Region 1,2015,46,779,1,1,0.256739,0.12837,0.12837
HHS Regions,Region 9,2015,46,1200,4,2,0.5,0.333333,0.166667
HHS Regions,Region 1,2015,47,788,2,1,0.380711,0.253807,0.126904
HHS Regions,Region 9,2015,47,1060,5,1,0.566038,0.471698,0.0943396
HHS Regions,Region 1,2015,48,780,2,1,0.384615,0.25641,0.128205
HHS Regions,Region 9,2015,48,1279,12,7,1.48554,0.938233,0.547303
HHS Regions,Region 1,2015,49,821,2,5,0.852619,0.243605,0.609013
HHS Regions,Region 9,2015,49,1214,8,3,0.906096,0.658979,0.247117
HHS Regions,Region 1,2015,50,842,1,2,0.356295,0.118765,0.23753
HHS Regions,Region 9,2015,50,1233,14,10,1.94647,1.13544,0.81103
HHS Regions,Region 1,2015,51,886,9,2,1.24153,1.0158,0.225734
HHS Regions,Region 9,2015,51,1333,23,18,3.07577,1.72543,1.35034
HHS Regions,Region 1,2015,52,991,6,1,0.706357,0.605449,0.100908
HHS Regions,Region 9,2015,52,1465,40,19,4.0273,2.73038,1.29693
HHS Regions,Region 1,2016,1,1181,12,5,1.43946,1.01609,0.42337
HHS Regions,Region 9,2016,1,1714,99,36,7.87631,5.77596,2.10035
HHS Regions,Region 1,2016,2,1025,35,3,3.70732,3.41463,0.292683
HHS Regions,Region 9,2016,2,1725,128,42,9.85507,7.42029,2.43478
HHS Regions,Region 1,2016,3,1097,39,9,4.37557,3.55515,0.820419
HHS Regions,Region 9,2016,3,1904,163,74,12.4475,8.56092,3.88655
HHS Regions,Region 1,2016,4,1273,67,7,5.81304,5.26316,0.549882
HHS Regions,Region 9,2016,4,2192,193,87,12.7737,8.80474,3.96898
HHS Regions,Region 1,2016,5,1266,102,4,8.37283,8.05687,0.315956
HHS Regions,Region 9,2016,5,2373,245,103,14.665,10.3245,4.3405
HHS Regions,Region 1,2016,6,1402,85,28,8.05991,6.06277,1.99715
HHS Regions,Region 9,2016,6,2788,382,195,20.6958,13.7016,6.99426
HHS Regions,Region 1,2016,7,1311,161,24,14.1114,12.2807,1.83066
HHS Regions,Region 9,2016,7,2955,436,229,22.5042,14.7547,7.74958
HHS Regions,Region 1,2016,8,1726,260,26,16.5701,15.0637,1.50637
HHS Regions,Region 9,2016,8,3051,388,285,22.0583,12.7171,9.3412
HHS Regions,Region 1,2016,9,1997,332,69,20.0801,16.6249,3.45518
HHS Regions,Region 9,2016,9,2945,351,277,21.3243,11.9185,9.40577
HHS Regions,Region 1,2016,10,2480,565,102,26.8952,22.7823,4.1129
HHS Regions,Region 9,2016,10,2514,268,213,19.1329,10.6603,8.47255
HHS Regions,Region 1,2016,11,2527,469,118,23.2291,18.5596,4.66957
HHS Regions,Region 9,2016,11,2573,181,179,13.9914,7.03459,6.95686
HHS Regions,Region 1,2016,12,2462,398,128,21.3647,16.1657,5.19903
HHS Regions,Region 9,2016,12,2059,137,131,13.016,6.65372,6.36231
HHS Regions,Region 1,2016,13,2380,352,141,20.7143,14.7899,5.92437
HHS Regions,Region 9,2016,13,1778,100,71,9.61755,5.6243,3.99325
HHS Regions,Region 1,2016,14,1964,184,132,16.0896,9.36864,6.72098
HHS Regions,Region 9,2016,14,1681,65,68,7.91196,3.86675,4.04521
HHS Regions,Region 1,2016,15,1743,142,154,16.9822,8.14687,8.83534
HHS Regions,Region 9,2016,15,1415,48,33,5.72438,3.39223,2.33216
HHS Regions,Region 1,2016,16,1602,114,147,16.2921,7.1161,9.17603
HHS Regions,Region 9,2016,16,1224,35,23,4.73856,2.85948,1.87908
HHS Regions,Region 1,2016,17,1354,79,127,15.2142,5.83456,9.37962
HHS Regions,Region 9,2016,17,1312,31,26,4.34451,2.3628,1.98171
HHS Regions,Region 1,2016,18,1139,45,92,12.0281,3.95083,8.07726
HHS Regions,Region 9,2016,18,1089,21,24,4.13223,1.92837,2.20386
HHS Regions,Region 1,2016,19,1028,27,86,10.9922,2.62646,8.36576
HHS Regions,Region 9,2016,19,917,17,13,3.27154,1.85387,1.41767
HHS Regions,Region 1,2016,20,851,13,70,9.75323,1.52761,8.22562
HHS Regions,Region 9,2016,20,897,13,8,2.34114,1.44928,0.891862
HHS Regions,Region 1,2016,21,701,5,35,5.70613,0.713267,4.99287
HHS Regions,Region 9,2016,21,876,8,17,2.85388,0.913242,1.94064
HHS Regions,Region 1,2016,22,521,3,9,2.30326,0.575816,1.72745
HHS Regions,Region 9,2016,22,778,4,6,1.28535,0.514139,0.771208
HHS Regions,Region 1,2016,23,391,0,7,1.79028,0,1.79028
HHS Regions,Region 9,2016,23,727,7,8,2.06327,0.962861,1.10041
HHS Regions,Region 1,2016,24,367,3,2,1.3624,0.817439,0.544959
HHS Regions,Region 9,2016,24,685,6,3,1.31387,0.875912,0.437956
HHS Regions,Region 1,2016,25,296,1,2,1.01351,0.337838,0.675676
HHS Regions,Region 9,2016,25,699,1,3,0.572246,0.143062,0.429185
HHS Regions,Region 1,2016,26,268,1,0,0.373134,0.373134,0
HHS Regions,Region 9,2016,26,632,4,4,1.26582,0.632911,0.632911
HHS Regions,Region 1,2016,27,246,1,0,0.406504,0.406504,0
HHS Regions,Region 9,2016,27,387,1,0,0.258398,0.258398,0
HHS Regions,Region 1,2016,28,228,0,0,0,0,0
HHS Regions,Region 9,2016,28,634,2,6,1.26183,0.315457,0.946372
HHS Regions,Region 1,2016,29,95,1,1,2.10526,1.05263,1.05263
HHS Regions,Region 9,2016,29,684,7,0,1.02339,1.02339,0
HHS Regions,Region 1,2016,30,112,0,0,0,0,0
HHS Regions,Region 9,2016,30,569,2,1,0.527241,0.351494,0.175747
HHS Regions,Region 1,2016,31,203,0,1,0.492611,0,0.492611
HHS Regions,Region 9,2016,31,567,2,1,0.529101,0.352734,0.176367
HHS Regions,Region 1,2016,32,177,0,0,0,0,0
HHS Regions,Region 9,2016,32,485,1,5,1.23711,0.206186,1.03093
HHS Regions,Region 1,2016,33,188,1,0,0.531915,0.531915,0
HHS Regions,Region 9,2016,33,649,0,1,0.154083,0,0.154083
HHS Regions,Region 1,2016,34,172,0,0,0,0,0
HHS Regions,Region 9,2016,34,522,5,1,1.14943,0.957854,0.191571
HHS Regions,Region 1,2016,35,180,2,0,1.11111,1.11111,0
HHS Regions,Region 9,2016,35,678,9,0,1.32743,1.32743,0
HHS Regions,Region 1,2016,36,239,1,0,0.41841,0.41841,0
HHS Regions,Region 9,2016,36,646,5,1,0.928793,0.773994,0.154799
HHS Regions,Region 1,2016,37,315,0,0,0,0,0
HHS Regions,Region 9,2016,37,735,8,1,1.22449,1.08844,0.136054
HHS Regions,Region 1,2016,38,415,2,0,0.481928,0.481928,0
HHS Regions,Region 9,2016,38,794,15,4,2.39295,1.88917,0.503778
HHS Regions,Region 1,2016,39,465,2,0,0.430108,0.430108,0
HHS Regions,Region 9,2016,39,901,5,4,0.99889,0.554939,0.443951
HHS Regions,Region 1,2016,40,654,5,1,0.917431,0.764526,0.152905
HHS Regions,Region 9,2016,40,992,6,1,0.705645,0.604839,0.100806
HHS Regions,Region 1,2016,41,810,5,1,0.740741,0.617284,0.123457
HHS Regions,Region 9,2016,41,1036,10,1,1.06178,0.965251,0.0965251
