"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  This data file includes only data prior to the 2015-16 influenza season, and will be presented with the public health and clinical labs combined."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v,A (H5)
HHS Regions,Region 1,2010,40,99,1.0101,1,0,0,0,0,0,0,0
HHS Regions,Region 9,2010,40,311,5.14469,5,0,9,1,0,1,0,0
HHS Regions,Region 1,2010,41,95,1.05263,0,0,1,0,0,0,0,0
HHS Regions,Region 9,2010,41,431,5.10441,5,0,6,4,0,7,0,0
HHS Regions,Region 1,2010,42,124,0.806452,0,0,1,0,0,0,0,0
HHS Regions,Region 9,2010,42,450,5.11111,5,0,9,3,0,6,0,0
HHS Regions,Region 1,2010,43,132,3.0303,0,0,3,0,0,1,0,0
HHS Regions,Region 9,2010,43,348,6.03448,6,0,9,2,0,4,0,0
HHS Regions,Region 1,2010,44,124,1.6129,0,0,2,0,0,0,0,0
HHS Regions,Region 9,2010,44,482,3.73444,4,0,5,1,0,8,0,0
HHS Regions,Region 1,2010,45,103,0.970874,1,0,0,0,0,0,0,0
HHS Regions,Region 9,2010,45,483,2.89855,0,0,5,2,0,7,0,0
HHS Regions,Region 1,2010,46,128,3.90625,0,0,5,0,0,0,0,0
HHS Regions,Region 9,2010,46,556,4.4964,1,0,6,1,0,17,0,0
HHS Regions,Region 1,2010,47,127,3.14961,0,0,4,0,0,0,0,0
HHS Regions,Region 9,2010,47,460,6.30435,0,0,13,3,0,13,0,0
HHS Regions,Region 1,2010,48,163,3.06748,2,0,3,0,0,0,0,0
HHS Regions,Region 9,2010,48,563,9.23623,5,0,15,2,0,30,0,0
HHS Regions,Region 1,2010,49,174,14.9425,0,0,26,0,0,0,0,0
HHS Regions,Region 9,2010,49,667,16.3418,2,0,58,3,0,46,0,0
HHS Regions,Region 1,2010,50,182,15.9341,1,0,27,0,0,1,0,0
HHS Regions,Region 9,2010,50,774,18.6047,11,0,78,3,0,52,0,0
HHS Regions,Region 1,2010,51,201,25.3731,2,0,45,0,0,4,0,0
HHS Regions,Region 9,2010,51,782,24.0409,15,0,101,9,0,63,0,0
HHS Regions,Region 1,2010,52,264,45.0758,10,0,106,0,0,3,0,0
HHS Regions,Region 9,2010,52,719,32.128,17,0,116,16,0,82,0,0
HHS Regions,Region 1,2011,1,366,41.8033,15,0,130,0,0,8,0,0
HHS Regions,Region 9,2011,1,933,26.2594,29,0,137,20,0,59,0,0
HHS Regions,Region 1,2011,2,389,40.1028,27,0,123,0,0,6,0,0
HHS Regions,Region 9,2011,2,1006,33.3996,40,0,193,20,0,83,0,0
HHS Regions,Region 1,2011,3,422,52.1327,55,0,143,2,0,20,0,0
HHS Regions,Region 9,2011,3,952,38.4454,90,0,172,28,0,76,0,0
HHS Regions,Region 1,2011,4,434,45.1613,56,0,117,1,0,22,0,0
HHS Regions,Region 9,2011,4,1121,35.5932,93,0,179,34,0,93,0,0
HHS Regions,Region 1,2011,5,520,47.8846,74,0,152,3,0,20,0,0
HHS Regions,Region 9,2011,5,1245,35.743,114,0,173,53,0,105,0,0
HHS Regions,Region 1,2011,6,547,49.7258,107,0,135,5,0,25,0,0
HHS Regions,Region 9,2011,6,1400,36.6429,162,0,173,76,0,102,0,0
HHS Regions,Region 1,2011,7,711,49.9297,141,0,154,10,0,50,0,0
HHS Regions,Region 9,2011,7,1570,40.8917,259,0,168,102,0,113,0,0
HHS Regions,Region 1,2011,8,686,51.895,127,0,173,20,0,36,0,0
HHS Regions,Region 9,2011,8,1408,35.8665,211,0,127,81,0,86,0,0
HHS Regions,Region 1,2011,9,580,44.4828,100,0,102,12,0,44,0,0
HHS Regions,Region 9,2011,9,1346,32.3923,194,0,102,82,0,58,0,0
HHS Regions,Region 1,2011,10,603,39.6352,78,0,116,8,0,37,0,0
HHS Regions,Region 9,2011,10,1165,30.4721,160,0,77,59,0,59,0,0
HHS Regions,Region 1,2011,11,515,34.1748,70,0,60,9,0,37,0,0
