"*Beginning for the 2015-16 season, reports from public health and clinical laboratories are presented separately in the weekly influenza update, FluView.  Data presented from public health laboratories include the weekly total number of specimens tested, the number of positive influenza tests, and the number by influenza virus type, subtype, and influenza B lineage."
REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,A (2009 H1N1),A (H3),A (Subtyping not Performed),B,BVic,BYam,H3N2v,A (H5)
HHS Regions,Region 1,2015,40,39,0,5,0,0,0,0,0,0
HHS Regions,Region 9,2015,40,273,0,22,2,8,0,0,0,0
HHS Regions,Region 1,2015,41,39,2,3,0,0,0,0,0,0
HHS Regions,Region 9,2015,41,220,0,7,1,3,1,0,0,0
HHS Regions,Region 1,2015,42,27,0,3,0,0,0,0,0,0
HHS Regions,Region 9,2015,42,215,1,16,1,6,1,0,0,0
HHS Regions,Region 1,2015,43,35,0,1,0,0,0,0,0,0
HHS Regions,Region 9,2015,43,191,1,11,0,4,0,0,0,0
HHS Regions,Region 1,2015,44,47,0,0,0,0,0,0,0,0
HHS Regions,Region 9,2015,44,248,1,6,1,5,0,1,0,0
HHS Regions,Region 1,2015,45,41,1,2,0,0,1,0,0,0
HHS Regions,Region 9,2015,45,283,2,15,0,1,2,0,0,0
HHS Regions,Region 1,2015,46,34,1,0,0,0,0,0,0,0
HHS Regions,Region 9,2015,46,258,4,11,0,1,0,3,0,0
HHS Regions,Region 1,2015,47,28,1,0,0,0,0,0,0,0
HHS Regions,Region 9,2015,47,237,4,10,0,1,2,3,0,0
HHS Regions,Region 1,2015,48,47,3,1,0,1,0,0,0,0
HHS Regions,Region 9,2015,48,346,7,8,2,2,2,6,0,0
HHS Regions,Region 1,2015,49,26,1,0,0,0,0,0,0,0
HHS Regions,Region 9,2015,49,342,17,15,1,0,0,3,0,0
HHS Regions,Region 1,2015,50,36,2,1,0,0,0,0,0,0
HHS Regions,Region 9,2015,50,292,15,10,0,3,2,11,0,0
HHS Regions,Region 1,2015,51,43,2,3,0,0,0,0,0,0
HHS Regions,Region 9,2015,51,258,25,9,0,3,1,10,0,0
HHS Regions,Region 1,2015,52,32,1,1,0,0,0,0,0,0
HHS Regions,Region 9,2015,52,374,62,37,1,9,1,14,0,0
HHS Regions,Region 1,2016,1,60,3,3,0,1,0,1,0,0
HHS Regions,Region 9,2016,1,544,121,52,0,5,7,23,0,0
HHS Regions,Region 1,2016,2,45,7,2,0,3,0,1,0,0
HHS Regions,Region 9,2016,2,548,108,53,1,18,10,29,0,0
HHS Regions,Region 1,2016,3,63,13,2,0,2,1,0,0,0
HHS Regions,Region 9,2016,3,582,139,57,7,19,14,31,0,0
HHS Regions,Region 1,2016,4,88,20,1,0,5,0,0,0,0
HHS Regions,Region 9,2016,4,730,168,88,3,45,16,43,0,0
HHS Regions,Region 1,2016,5,129,50,5,0,5,3,1,0,0
HHS Regions,Region 9,2016,5,733,188,102,4,49,29,55,0,0
HHS Regions,Region 1,2016,6,160,51,4,0,4,11,4,0,0
HHS Regions,Region 9,2016,6,1029,247,152,5,84,35,97,0,0
HHS Regions,Region 1,2016,7,168,84,11,0,10,4,1,0,0
HHS Regions,Region 9,2016,7,1146,297,147,3,103,49,176,0,0
HHS Regions,Region 1,2016,8,219,113,3,0,12,6,2,0,0
HHS Regions,Region 9,2016,8,1162,248,115,4,99,59,189,0,0
HHS Regions,Region 1,2016,9,257,135,4,0,20,9,6,0,0
HHS Regions,Region 9,2016,9,1067,241,156,1,90,46,148,0,0
HHS Regions,Region 1,2016,10,398,244,16,3,24,10,4,0,0
HHS Regions,Region 9,2016,10,932,226,90,5,52,33,110,0,0
HHS Regions,Region 1,2016,11,306,198,10,1,10,8,3,0,0
HHS Regions,Region 9,2016,11,825,175,74,7,50,34,103,0,0
HHS Regions,Region 1,2016,12,288,139,5,0,31,5,6,0,0
